date,open,high,low,close,volume,increase,increaserate,change,PE,PB,A-index,communicaiton-index,label
2012/5/18,-0.537175699,-0.571293747,-0.579129792,-0.605287361,-0.6229241,-0.888631188,-1.379533227,-0.622310046,0.652265683,-0.610066363,-1.164180333,-1.112848436,0
2012/5/17,-0.544285786,-0.558543224,-0.517545082,-0.530934754,-0.84473525,0.202729657,0.294231472,-0.890446574,0.693954564,-0.542579399,-1.132830908,-1.086260738,1
2012/5/16,-0.509920368,-0.539997008,-0.519960169,-0.548637756,-0.790619385,-0.636778685,-0.976872713,-0.825033989,0.684027696,-0.558640542,-1.161888984,-1.099888162,0
2012/5/15,-0.560875987,-0.526087346,-0.541695949,-0.49552875,-0.625903487,0.692442857,1.054124135,-0.625920283,0.713804336,-0.510457112,-1.132195853,-1.079070326,1
2012/5/14,-0.513475411,-0.536519593,-0.528412972,-0.554538756,-0.757277166,-0.175049097,-0.288291192,-0.784770676,0.68071874,-0.563994257,-1.130698324,-1.093473252,0
2012/5/11,-0.500440253,-0.5307239,-0.507884735,-0.540376355,-0.764730481,-0.440893405,-0.685006144,-0.793765672,0.688660234,-0.551175504,-1.120807765,-1.086186756,0
2012/5/10,-0.473184921,-0.497108884,-0.476488608,-0.503790151,-0.733690452,-0.217024514,-0.344150993,-0.756255929,0.709171798,-0.517997555,-1.107096146,-1.070260827,0
2012/5/9,-0.460149763,-0.488994914,-0.460790545,-0.486087149,-0.786139803,-0.566819657,-0.848455695,-0.81964923,0.719098665,-0.501936411,-1.115102993,-1.070264948,0
2012/5/8,-0.425784345,-0.462334729,-0.435432135,-0.438879144,-0.682619689,-0.147065485,-0.233428252,-0.694514771,0.745566349,-0.459106695,-1.076641378,-1.044817793,0
2012/5/7,-0.457779734,-0.458857313,-0.423356701,-0.427077143,-0.621733161,0.076803406,0.092473989,-0.620902666,0.752184261,-0.448399266,-1.073770755,-1.046662946,1
2012/5/4,-0.485035065,-0.468130421,-0.463205632,-0.434158343,-0.637019258,0.608492023,0.891457832,-0.63938218,0.748213514,-0.454808643,-1.094652493,-1.058866822,1
2012/5/3,-0.492145152,-0.494790607,-0.464413175,-0.486087149,-0.734190366,0.090795212,0.117217496,-0.756806643,0.719098665,-0.501936411,-1.117984343,-1.079536788,1
