DATE,CLOSE,PREDICT
2012/3/27,16.4,15
2012/3/28,16.54,16
2012/3/29,16.08,15
2012/3/30,16.08,15
2012/4/5,16.43,15
2012/4/6,16.8,16
2012/4/9,16.6,16
2012/4/10,16.25,15
2012/4/11,16.34,16
2012/4/12,16.34,15
2012/4/13,16.34,15
2012/4/16,16.59,16
2012/4/17,16.28,15
2012/4/18,16.1,15
2012/4/19,16.39,15
2012/4/20,16.82,16
2012/4/23,17.22,17
2012/4/24,17.3,16
2012/4/25,17.63,17
2012/4/26,17.61,17
2012/4/27,17.19,17
2012/5/2,16.82,16
2012/5/3,16.93,16
2012/5/4,17,16
2012/5/7,17.44,17
2012/5/8,17.5,17
2012/5/9,17.4,17
2012/5/10,17,16
2012/5/11,16.85,16
2012/5/14,16.54,16
2012/5/15,16.42,15
2012/5/16,16.92,16
2012/5/17,16.47,16
2012/5/18,16.62,16
2012/5/21,15.99,15
2012/5/22,15.59,14
2012/5/23,15.69,15
2012/5/24,15.63,15
2012/5/25,15.48,14
2012/5/28,15.48,14
2012/5/29,15.19,14
2012/5/30,15.61,15
2012/5/31,15.3,14
2012/6/1,15.27,14
2012/6/4,15.29,14
2012/6/5,14.79,14
2012/6/6,14.55,13
2012/6/7,14.3,13
2012/6/8,14.33,13
2012/6/11,14.37,13
2012/6/12,14.77,14
2012/6/13,14.31,13
2012/6/14,14.55,13
2012/6/15,14.77,13
2012/6/18,14.69,13
2012/6/19,14.95,14
2012/6/20,14.89,13
2012/6/21,15.07,14
2012/6/25,14.96,14
2012/6/26,14.45,13
2012/6/27,14.61,13
2012/6/28,14.45,13
2012/6/29,14.36,13
2012/7/2,13.96,12
2012/7/3,13.98,12
2012/7/4,14,12
2012/7/5,14.21,13
2012/7/6,14.02,12
2012/7/9,14.23,13
2012/7/10,13.81,13
2012/7/11,13.05,11
2012/7/12,13.03,11
2012/7/13,13.33,12
2012/7/16,13.02,12
2012/7/17,11.72,10
2012/7/18,11.39,9
2012/7/19,11.06,9
2012/7/20,11.22,9
2012/7/23,11.28,9
2012/7/24,11.44,10
2012/7/25,11.46,10
2012/7/26,11.26,9
2012/7/27,11.34,9
2012/7/30,11.48,10
2012/7/31,11.39,10
2012/8/1,11.41,10
2012/8/2,11.45,10
2012/8/3,11.25,9
2012/8/6,11.27,9
2012/8/7,11.29,9
2012/8/8,11.55,10
2012/8/9,11.48,9
2012/8/10,11.77,10
2012/8/13,11.55,10
2012/8/14,11.31,9
2012/8/15,11.49,10
2012/8/16,11.35,9
2012/8/17,11.4,10
2012/8/20,11.17,9
2012/8/21,11.1,9
2012/8/22,11.26,9
2012/8/23,11.2,9
2012/8/24,11.22,10
2012/8/27,10.9,10
2012/8/28,10.01,8
2012/8/29,9.78,8
2012/8/30,9.64,7
2012/8/31,9.97,8
2012/9/3,9.92,8
2012/9/4,9.85,8
2012/9/5,9.59,8
2012/9/6,9.66,8
2012/9/7,9.9,8
2012/9/10,10.3,8
2012/9/11,10.48,8
2012/9/12,10.5,8
2012/9/13,10.57,8
2012/9/14,10.76,9
2012/9/17,10.78,9
2012/9/18,10.31,8
2012/9/19,10.09,8
2012/9/20,10.27,8
2012/9/21,10.07,8
2012/9/24,10.2,8
2012/9/25,10.64,9
2012/9/26,10.48,9
2012/9/27,10.31,8
2012/9/28,10.58,8
2012/10/8,11.16,9
2012/10/9,11.45,10
2012/10/10,11.4,9
2012/10/11,11.41,10
2012/10/12,11.07,10
2012/10/15,10.5,10
2012/10/16,9.45,8
2012/10/17,9.05,7
