y	y_pred
9.13	7
9.37	7
9.75	7
9.72	7
9.5	6
9.5	6
10.24	7
10.18	7
9.89	7
10.32	7
10.6	7
10.34	7
10.15	7
10.17	7
10.34	7
10.31	7
10.58	8
10.23	7
10.23	7
10.7	7
10.8	8
11	8
10.89	8
10.9	8
10.02	7
10.11	7
10.11	7
10.16	7
10.62	7
10.8	8
10.5	7
10.65	7
10.56	8
10.15	7
9.92	7
9.52	6
9.44	6
9.8	7
9.91	7
9.58	6
9.87	6
10.86	7
11.21	8
11.4	8
11.77	9
11.39	8
11.05	7
11.93	8
12.1	9
12.21	9
12.25	9
12.18	9
12.42	9
12.02	9
11.46	8
11.66	8
11.57	8
11.54	8
11.2	8
11.35	8
11.24	8
11.1	8
11.28	8
11.52	8
11.37	8
11.42	8
11	8
10.56	7
10.67	8
10.67	7
10.71	7
11.22	8
11.53	8
11.07	7
11.83	9
11.57	8
11.34	8
12.2	9
12.23	8
12.87	9
12.83	9
12.92	9
13.28	10
12.97	9
13.53	10
12.88	9
12.88	9
13.15	10
13.33	10
13.24	10
12.99	10
12.77	9
12.54	9
12.92	9
12.63	9
12.34	9
12.4	9
12.22	8
12.63	9
12.55	9
12.3	9
12.67	9
12.51	9
12.09	9
11.45	8
11.64	8
11.83	8
12.62	9
12.57	10
11.93	9
11.91	9
11.52	8
12.48	9
12.91	9
12.74	9
12.75	9
12.77	9
13.41	10
13.7	10
13.38	10
13.1	10
12.81	9
12.86	9
13.21	9
13.66	10
13.69	10
13.69	10
13.69	10
13.69	10
13.69	10
13.69	10
13.69	9
15.06	11
15.8	12
15.53	12
15.54	12
14.95	12
14.76	11
15.39	12
15.55	12
15.29	12
15.41	12
15.63	12
14.99	11
15.02	11
15.44	12
15.56	12
15.55	11
16.07	13
15.88	13
15.42	11
16.96	13
17.08	14
16.87	13
17.03	14
16.69	12
17.4	14
17.2	14
16.82	13
16.99	14
16.4	13
16.82	13
17.02	14
16.81	13
17.15	14
17.09	14
16.92	14
16.65	14
15.75	12
16.02	12
16.06	12
16.3	13
15.92	13
15.79	11
16.72	13
16.78	13
17.05	14
16.86	14
16.53	13
16.6	12
18.09	15
17.81	14
17.89	14
17.78	14
17.63	14
17.7	15
16.99	14
16.85	13
16.98	13
17.45	14
17.15	14
16	13
15.72	12
15.22	12
15.36	12
14.98	11
15.1	12
15.18	12
15.2	11
15.7	12
15.91	13
15.58	12
15.42	12
14.83	11
14.79	11
15	12
14.49	11
14.68	11
15.27	11
15.88	12
15.83	12
16.35	12
16.73	13
16.31	13
15.83	12
16	12
16.53	13
16.27	13
16.3	13
15.71	11
16.47	12
16.81	14
15.81	12
15.24	12
15.2	12
15.28	12
14.93	11
15.06	12
14.91	12
14.45	11
14.47	11
14.4	11
